;Topology;Params;Number_Iterations;Number_Particles;C1;C2;W;Mean bests_Results;Best of Iterations
35;ALL;Number of interations: 50 C1: 0.7 C2:2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.7;2.0;0.9;3.9459112672586096;3.0296186503787266
36;ALL;Number of interations: 50 C1: 1 C2:0.2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;1.0;0.2;0.3;0.11676127487883585;0.006862634637962106
37;ALL;Number of interations: 50 C1: 1 C2:0.2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;1.0;0.2;0.5;0.1382848958768137;0.019021639608507446
38;ALL;Number of interations: 50 C1: 1 C2:0.2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;1.0;0.2;0.9;0.01572038783355021;0.009224855845122892
39;ALL;Number of interations: 50 C1: 1 C2:0.5 w:0.3 N_Particles:50 Topology:ALL;ALL;50;1.0;0.5;0.3;0.12510510703453379;0.0037953140022080056
40;ALL;Number of interations: 50 C1: 1 C2:0.5 w:0.5 N_Particles:50 Topology:ALL;ALL;50;1.0;0.5;0.5;3.6799573561729915e-06;3.094602551989567e-07
41;ALL;Number of interations: 50 C1: 1 C2:0.5 w:0.9 N_Particles:50 Topology:ALL;ALL;50;1.0;0.5;0.9;0.05118068966150391;0.021096675478198268
42;ALL;Number of interations: 50 C1: 1 C2:0.8 w:0.3 N_Particles:50 Topology:ALL;ALL;50;1.0;0.8;0.3;0.019213557122035586;2.664929024520646e-05
43;ALL;Number of interations: 50 C1: 1 C2:0.8 w:0.5 N_Particles:50 Topology:ALL;ALL;50;1.0;0.8;0.5;5.697211236999067e-07;2.2063008531247874e-07
44;ALL;Number of interations: 50 C1: 1 C2:0.8 w:0.9 N_Particles:50 Topology:ALL;ALL;50;1.0;0.8;0.9;0.19096118239052737;0.05766163249985512
45;ALL;Number of interations: 50 C1: 1 C2:2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;1.0;2.0;0.3;1.7866690119383576e-06;3.3840959590136777e-07
